Athlete,Nationality,Score,Date,Venue,Place
Yomif KEJELCHA,ETH,1288,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Yomif KEJELCHA,ETH,1288,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Yomif KEJELCHA,ETH,1119,25 JUL 2014,"Hayward Field, Eugene, OR (USA)",
Yomif KEJELCHA,ETH,1232,11 SEP 2015,"Boudewijnstadion, Bruxelles (BEL)",
Yomif KEJELCHA,ETH,1198,14 MAY 2016,"Shanghai Stadium, Shanghai (CHN)",
Yomif KEJELCHA,ETH,1205,27 MAY 2017,"Hayward Field, Eugene, OR (USA)",
Yomif KEJELCHA,ETH,1259,31 AUG 2018,"Boudewijnstadion, Bruxelles (BEL)",
Yomif KEJELCHA,ETH,1208,05 JUL 2019,"Stade Olympique de la Pontaise, Lausanne (SUI)",
Yomif KEJELCHA,ETH,1163,10 OCT 2020,"FBK Stadium, Hengelo (NED)",
Yomif KEJELCHA,ETH,1239,09 JUN 2022,"Stadio Olimpico, Roma (ITA)",
Yomif KEJELCHA,ETH,1278,15 JUN 2023,"Bislett Stadion, Oslo (NOR)",
Yomif KEJELCHA,ETH,1288,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Yomif KEJELCHA,ETH,,12 AUG 2017,"Olympic Stadium, London (GBR)",4.
Yomif KEJELCHA,ETH,,29 AUG 2015,"National Stadium, Beijing (CHN)",4.
Yomif KEJELCHA,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",5.
Yomif KEJELCHA,ETH,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",8.
Yomif KEJELCHA,ETH,,11 SEP 2015,"Boudewijnstadion, Bruxelles (BEL)",1.
Yomif KEJELCHA,ETH,,25 JUL 2014,"Hayward Field, Eugene, OR (USA)",1.
Yomif KEJELCHA,ETH,,31 AUG 2023,"Letzigrund, Zürich (SUI)",1.
Yomif KEJELCHA,ETH,,15 JUN 2023,"Bislett Stadion, Oslo (NOR)",1.
Yomif KEJELCHA,ETH,,05 JUL 2019,"Stade Olympique de la Pontaise, Lausanne (SUI)",1.
Yomif KEJELCHA,ETH,,18 MAY 2019,"Shanghai Stadium, Shanghai (CHN)",1.
Yomif KEJELCHA,ETH,,11 SEP 2015,"Boudewijnstadion, Bruxelles (BEL)",1.
Yomif KEJELCHA,ETH,,04 JUN 2015,"Stadio Olimpico, Roma (ITA)",1.
Yomif KEJELCHA,ETH,,29 MAY 2015,"Hayward Field, Eugene, OR (USA)",1.
Yomif KEJELCHA,ETH,,08 MAR 2015,Addis Abeba (ETH),1.
Yomif KEJELCHA,ETH,1288,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",2.
Yomif KEJELCHA,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",5.
Yomif KEJELCHA,ETH,,24 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",2.
Yomif KEJELCHA,ETH,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",8.
Yomif KEJELCHA,ETH,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",4.
Yomif KEJELCHA,ETH,,12 AUG 2017,"Olympic Stadium, London (GBR)",4.
Yomif KEJELCHA,ETH,,09 AUG 2017,"Olympic Stadium, London (GBR)",1.
Yomif KEJELCHA,ETH,,29 AUG 2015,"National Stadium, Beijing (CHN)",4.
Yomif KEJELCHA,ETH,,26 AUG 2015,"National Stadium, Beijing (CHN)",1.
Yomif KEJELCHA,ETH,,08 MAR 2015,Addis Abeba (ETH),1.
Yomif KEJELCHA,ETH,,25 JUL 2014,"Hayward Field, Eugene, OR (USA)",1.
Yomif KEJELCHA,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",5.
Yomif KEJELCHA,ETH,,24 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",2.
Yomif KEJELCHA,ETH,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",8.
Yomif KEJELCHA,ETH,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",4.
Yomif KEJELCHA,ETH,,12 AUG 2017,"Olympic Stadium, London (GBR)",4.
Yomif KEJELCHA,ETH,,09 AUG 2017,"Olympic Stadium, London (GBR)",1.
Yomif KEJELCHA,ETH,,29 AUG 2015,"National Stadium, Beijing (CHN)",4.
Yomif KEJELCHA,ETH,,26 AUG 2015,"National Stadium, Beijing (CHN)",1.
Yomif KEJELCHA,ETH,,08 MAR 2015,Addis Abeba (ETH),1.
Yomif KEJELCHA,ETH,,25 JUL 2014,"Hayward Field, Eugene, OR (USA)",1.
Yomif KEJELCHA,ETH,1288,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Yomif KEJELCHA,ETH,1288,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Yomif KEJELCHA,ETH,,,,
Yomif KEJELCHA,ETH,,,,
Yomif KEJELCHA,ETH,,,,
Yomif KEJELCHA,ETH,,,,
Yomif KEJELCHA,ETH,,,,
Yomif KEJELCHA,ETH,,,,
Yomif KEJELCHA,ETH,,,,
Yomif KEJELCHA,ETH,,,,
Yomif KEJELCHA,ETH,,,,
Yomif KEJELCHA,ETH,,,,
Yomif KEJELCHA,ETH,,12 AUG 2017,"Olympic Stadium, London (GBR)",4.
Yomif KEJELCHA,ETH,,29 AUG 2015,"National Stadium, Beijing (CHN)",4.
Yomif KEJELCHA,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",5.
Yomif KEJELCHA,ETH,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",8.
Yomif KEJELCHA,ETH,,11 SEP 2015,"Boudewijnstadion, Bruxelles (BEL)",1.
Yomif KEJELCHA,ETH,,25 JUL 2014,"Hayward Field, Eugene, OR (USA)",1.
Yomif KEJELCHA,ETH,,31 AUG 2023,"Letzigrund, Zürich (SUI)",1.
Yomif KEJELCHA,ETH,,15 JUN 2023,"Bislett Stadion, Oslo (NOR)",1.
Yomif KEJELCHA,ETH,,05 JUL 2019,"Stade Olympique de la Pontaise, Lausanne (SUI)",1.
Yomif KEJELCHA,ETH,,18 MAY 2019,"Shanghai Stadium, Shanghai (CHN)",1.
Yomif KEJELCHA,ETH,,11 SEP 2015,"Boudewijnstadion, Bruxelles (BEL)",1.
Yomif KEJELCHA,ETH,,04 JUN 2015,"Stadio Olimpico, Roma (ITA)",1.
Yomif KEJELCHA,ETH,,29 MAY 2015,"Hayward Field, Eugene, OR (USA)",1.
Yomif KEJELCHA,ETH,,08 MAR 2015,Addis Abeba (ETH),1.
Yomif KEJELCHA,ETH,,,,
Hagos GEBRHIWET,ETH,1296,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Hagos GEBRHIWET,ETH,1296,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Hagos GEBRHIWET,ETH,967,08 MAY 2011,Addis Abeba (ETH),
Hagos GEBRHIWET,ETH,1256,06 JUL 2012,"Stade de France, Paris-St-Denis (FRA)",
Hagos GEBRHIWET,ETH,1225,06 JUN 2013,"Stadio Olimpico, Roma (ITA)",
Hagos GEBRHIWET,ETH,1184,18 MAY 2014,"Shanghai Stadium, Shanghai (CHN)",
Hagos GEBRHIWET,ETH,1229,11 SEP 2015,"Boudewijnstadion, Bruxelles (BEL)",
Hagos GEBRHIWET,ETH,1209,17 JUN 2016,"Somerville, MA (USA)",
Hagos GEBRHIWET,ETH,1262,31 AUG 2018,"Boudewijnstadion, Bruxelles (BEL)",
Hagos GEBRHIWET,ETH,1228,06 JUN 2019,"Stadio Olimpico, Roma (ITA)",
Hagos GEBRHIWET,ETH,1250,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",
Hagos GEBRHIWET,ETH,1276,21 JUL 2023,"Stade Louis II, Monaco (MON)",
Hagos GEBRHIWET,ETH,1296,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Hagos GEBRHIWET,ETH,,20 AUG 2016,"Estádio Olímpico, Rio de Janeiro (BRA)",3.
Hagos GEBRHIWET,ETH,,16 AUG 2013,"Luzhniki Stadion, Moskva (RUS)",2.
Hagos GEBRHIWET,ETH,,29 AUG 2015,"National Stadium, Beijing (CHN)",3.
Hagos GEBRHIWET,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",6.
Hagos GEBRHIWET,ETH,,01 SEP 2016,"Letzigrund, Zürich (SUI)",1.
Hagos GEBRHIWET,ETH,,22 MAR 2024,"University of Ghana Sports Stadium, Accra (GHA)",1.
Hagos GEBRHIWET,ETH,,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",1.
Hagos GEBRHIWET,ETH,,21 JUL 2023,"Stade Louis II, Monaco (MON)",1.
Hagos GEBRHIWET,ETH,,20 JUL 2019,"Olympic Stadium, London (GBR)",1.
Hagos GEBRHIWET,ETH,,01 SEP 2016,"Letzigrund, Zürich (SUI)",1.
Hagos GEBRHIWET,ETH,,09 JUN 2016,"Bislett Stadion, Oslo (NOR)",1.
Hagos GEBRHIWET,ETH,,11 JUL 2014,"Hampden Park, Glasgow (GBR)",1.
Hagos GEBRHIWET,ETH,,25 MAY 2013,"Icahn Stadium, New York, NY (USA)",1.
Hagos GEBRHIWET,ETH,,19 MAY 2012,"Shanghai Stadium, Shanghai (CHN)",1.
Hagos GEBRHIWET,ETH,1074,22 MAR 2024,"University of Ghana Sports Stadium, Accra (GHA)",1.
Hagos GEBRHIWET,ETH,1296,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",1.
Hagos GEBRHIWET,ETH,,20 AUG 2016,"Estádio Olímpico, Rio de Janeiro (BRA)",3.
Hagos GEBRHIWET,ETH,,17 AUG 2016,"Estádio Olímpico, Rio de Janeiro (BRA)",1.
Hagos GEBRHIWET,ETH,,11 AUG 2012,"Olympic Stadium, London (GBR)",11.
Hagos GEBRHIWET,ETH,,08 AUG 2012,"Olympic Stadium, London (GBR)",5.
Hagos GEBRHIWET,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",6.
Hagos GEBRHIWET,ETH,,24 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",10.
Hagos GEBRHIWET,ETH,,09 AUG 2017,"Olympic Stadium, London (GBR)",
Hagos GEBRHIWET,ETH,,29 AUG 2015,"National Stadium, Beijing (CHN)",3.
Hagos GEBRHIWET,ETH,,26 AUG 2015,"National Stadium, Beijing (CHN)",1.
Hagos GEBRHIWET,ETH,,16 AUG 2013,"Luzhniki Stadion, Moskva (RUS)",2.
Hagos GEBRHIWET,ETH,,13 AUG 2013,"Luzhniki Stadion, Moskva (RUS)",1.
Hagos GEBRHIWET,ETH,,22 MAR 2024,"University of Ghana Sports Stadium, Accra (GHA)",1.
Hagos GEBRHIWET,ETH,,14 AUG 2014,"Le Grand Stade, Marrakech (MAR)",
Hagos GEBRHIWET,ETH,,20 AUG 2016,"Estádio Olímpico, Rio de Janeiro (BRA)",3.
Hagos GEBRHIWET,ETH,,17 AUG 2016,"Estádio Olímpico, Rio de Janeiro (BRA)",1.
Hagos GEBRHIWET,ETH,,11 AUG 2012,"Olympic Stadium, London (GBR)",11.
Hagos GEBRHIWET,ETH,,08 AUG 2012,"Olympic Stadium, London (GBR)",5.
Hagos GEBRHIWET,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",6.
Hagos GEBRHIWET,ETH,,24 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",10.
Hagos GEBRHIWET,ETH,,09 AUG 2017,"Olympic Stadium, London (GBR)",
Hagos GEBRHIWET,ETH,,29 AUG 2015,"National Stadium, Beijing (CHN)",3.
Hagos GEBRHIWET,ETH,,26 AUG 2015,"National Stadium, Beijing (CHN)",1.
Hagos GEBRHIWET,ETH,,16 AUG 2013,"Luzhniki Stadion, Moskva (RUS)",2.
Hagos GEBRHIWET,ETH,,13 AUG 2013,"Luzhniki Stadion, Moskva (RUS)",1.
Hagos GEBRHIWET,ETH,,22 MAR 2024,"University of Ghana Sports Stadium, Accra (GHA)",1.
Hagos GEBRHIWET,ETH,,14 AUG 2014,"Le Grand Stade, Marrakech (MAR)",
Hagos GEBRHIWET,ETH,1296,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Hagos GEBRHIWET,ETH,1296,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Hagos GEBRHIWET,ETH,,,,
Hagos GEBRHIWET,ETH,,,,
Hagos GEBRHIWET,ETH,,,,
Hagos GEBRHIWET,ETH,,,,
Hagos GEBRHIWET,ETH,,,,
Hagos GEBRHIWET,ETH,,,,
Hagos GEBRHIWET,ETH,,,,
Hagos GEBRHIWET,ETH,,,,
Hagos GEBRHIWET,ETH,,,,
Hagos GEBRHIWET,ETH,,,,
Hagos GEBRHIWET,ETH,,,,
Hagos GEBRHIWET,ETH,,20 AUG 2016,"Estádio Olímpico, Rio de Janeiro (BRA)",3.
Hagos GEBRHIWET,ETH,,16 AUG 2013,"Luzhniki Stadion, Moskva (RUS)",2.
Hagos GEBRHIWET,ETH,,29 AUG 2015,"National Stadium, Beijing (CHN)",3.
Hagos GEBRHIWET,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",6.
Hagos GEBRHIWET,ETH,,01 SEP 2016,"Letzigrund, Zürich (SUI)",1.
Hagos GEBRHIWET,ETH,,22 MAR 2024,"University of Ghana Sports Stadium, Accra (GHA)",1.
Hagos GEBRHIWET,ETH,,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",1.
Hagos GEBRHIWET,ETH,,21 JUL 2023,"Stade Louis II, Monaco (MON)",1.
Hagos GEBRHIWET,ETH,,20 JUL 2019,"Olympic Stadium, London (GBR)",1.
Hagos GEBRHIWET,ETH,,01 SEP 2016,"Letzigrund, Zürich (SUI)",1.
Hagos GEBRHIWET,ETH,,09 JUN 2016,"Bislett Stadion, Oslo (NOR)",1.
Hagos GEBRHIWET,ETH,,11 JUL 2014,"Hampden Park, Glasgow (GBR)",1.
Hagos GEBRHIWET,ETH,,25 MAY 2013,"Icahn Stadium, New York, NY (USA)",1.
Hagos GEBRHIWET,ETH,,19 MAY 2012,"Shanghai Stadium, Shanghai (CHN)",1.
Hagos GEBRHIWET,ETH,,,,
Hagos GEBRHIWET,ETH,,,,
Berihu AREGAWI,ETH,1282,30 JUN 2023,"Stade Olympique de la Pontaise, Lausanne (SUI)",
Berihu AREGAWI,ETH,1239,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",
Berihu AREGAWI,ETH,1154,23 AUG 2018,Rovereto (ITA),
Berihu AREGAWI,ETH,1177,03 OCT 2020,"Nyayo National Stadium, Nairobi (KEN)",
Berihu AREGAWI,ETH,1246,28 MAY 2022,"Hayward Field, Eugene, OR (USA)",
Berihu AREGAWI,ETH,1282,30 JUN 2023,"Stade Olympique de la Pontaise, Lausanne (SUI)",
Berihu AREGAWI,ETH,1239,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",
Berihu AREGAWI,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",8.
Berihu AREGAWI,ETH,,30 JUN 2023,"Stade Olympique de la Pontaise, Lausanne (SUI)",1.
Berihu AREGAWI,ETH,,28 MAY 2022,"Hayward Field, Eugene, OR (USA)",1.
Berihu AREGAWI,ETH,1239,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",2.
Berihu AREGAWI,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",8.
Berihu AREGAWI,ETH,,24 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",4.
Berihu AREGAWI,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",8.
Berihu AREGAWI,ETH,,24 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",4.
Berihu AREGAWI,ETH,1282,30 JUN 2023,"Stade Olympique de la Pontaise, Lausanne (SUI)",
Berihu AREGAWI,ETH,1239,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",
Berihu AREGAWI,ETH,,,,
Berihu AREGAWI,ETH,,,,
Berihu AREGAWI,ETH,,,,
Berihu AREGAWI,ETH,,,,
Berihu AREGAWI,ETH,,,,
Berihu AREGAWI,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",8.
Berihu AREGAWI,ETH,,30 JUN 2023,"Stade Olympique de la Pontaise, Lausanne (SUI)",1.
Berihu AREGAWI,ETH,,28 MAY 2022,"Hayward Field, Eugene, OR (USA)",1.
Berihu AREGAWI,ETH,,,,
Telahun Haile BEKELE,ETH,1274,21 JUL 2023,"Stade Louis II, Monaco (MON)",
Telahun Haile BEKELE,ETH,1206,22 JUN 2024,"LAZ Wien, Wien (AUT)",
Telahun Haile BEKELE,ETH,1051,21 MAY 2017,Addis Abeba (ETH),
Telahun Haile BEKELE,ETH,1193,08 JUN 2018,Huelva (ESP),
Telahun Haile BEKELE,ETH,1235,06 JUN 2019,"Stadio Olimpico, Roma (ITA)",
Telahun Haile BEKELE,ETH,1143,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",
Telahun Haile BEKELE,ETH,1220,09 JUN 2022,"Stadio Olimpico, Roma (ITA)",
Telahun Haile BEKELE,ETH,1274,21 JUL 2023,"Stade Louis II, Monaco (MON)",
Telahun Haile BEKELE,ETH,1206,22 JUN 2024,"LAZ Wien, Wien (AUT)",
Telahun Haile BEKELE,ETH,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",4.
Telahun Haile BEKELE,ETH,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",5.
Telahun Haile BEKELE,ETH,,16 JUN 2022,"Bislett Stadion, Oslo (NOR)",1.
Telahun Haile BEKELE,ETH,,06 JUN 2019,"Stadio Olimpico, Roma (ITA)",1.
Telahun Haile BEKELE,ETH,,11 MAY 2019,Addis Abeba (ETH),1.
Telahun Haile BEKELE,ETH,1178,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",14.
Telahun Haile BEKELE,ETH,1206,22 JUN 2024,"LAZ Wien, Wien (AUT)",2.
Telahun Haile BEKELE,ETH,1205,07 JUL 2024,"FBK Stadium, Hengelo (NED)",1.
Telahun Haile BEKELE,ETH,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",16.
Telahun Haile BEKELE,ETH,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",4.
Telahun Haile BEKELE,ETH,,27 SEP 2019,"Khalifa International Stadium, Doha (QAT)",2.
Telahun Haile BEKELE,ETH,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",5.
Telahun Haile BEKELE,ETH,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",16.
Telahun Haile BEKELE,ETH,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",4.
Telahun Haile BEKELE,ETH,,27 SEP 2019,"Khalifa International Stadium, Doha (QAT)",2.
Telahun Haile BEKELE,ETH,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",5.
Telahun Haile BEKELE,ETH,1274,21 JUL 2023,"Stade Louis II, Monaco (MON)",
Telahun Haile BEKELE,ETH,1206,22 JUN 2024,"LAZ Wien, Wien (AUT)",
Telahun Haile BEKELE,ETH,,,,
Telahun Haile BEKELE,ETH,,,,
Telahun Haile BEKELE,ETH,,,,
Telahun Haile BEKELE,ETH,,,,
Telahun Haile BEKELE,ETH,,,,
Telahun Haile BEKELE,ETH,,,,
Telahun Haile BEKELE,ETH,,,,
Telahun Haile BEKELE,ETH,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",4.
Telahun Haile BEKELE,ETH,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",5.
Telahun Haile BEKELE,ETH,,16 JUN 2022,"Bislett Stadion, Oslo (NOR)",1.
Telahun Haile BEKELE,ETH,,06 JUN 2019,"Stadio Olimpico, Roma (ITA)",1.
Telahun Haile BEKELE,ETH,,11 MAY 2019,Addis Abeba (ETH),1.
Telahun Haile BEKELE,ETH,,,,
Telahun Haile BEKELE,ETH,,,,
Telahun Haile BEKELE,ETH,,,,
Jakob INGEBRIGTSEN,NOR,1252,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",
Jakob INGEBRIGTSEN,NOR,1158,29 JUN 2024,"Sandnes Stadion, Sandnes (NOR)",
Jakob INGEBRIGTSEN,NOR,875,07 AUG 2016,Brandbu (NOR),
Jakob INGEBRIGTSEN,NOR,1082,25 AUG 2017,Sandnes (NOR),
Jakob INGEBRIGTSEN,NOR,1148,11 AUG 2018,"Olympiastadion, Berlin (GER)",
Jakob INGEBRIGTSEN,NOR,1202,20 JUL 2019,"Olympic Stadium, London (GBR)",
Jakob INGEBRIGTSEN,NOR,1252,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",
Jakob INGEBRIGTSEN,NOR,1202,06 MAY 2022,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",
Jakob INGEBRIGTSEN,NOR,1169,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",
Jakob INGEBRIGTSEN,NOR,1158,29 JUN 2024,"Sandnes Stadion, Sandnes (NOR)",
Jakob INGEBRIGTSEN,NOR,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",1.
Jakob INGEBRIGTSEN,NOR,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",1.
Jakob INGEBRIGTSEN,NOR,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",5.
Jakob INGEBRIGTSEN,NOR,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",3.
Jakob INGEBRIGTSEN,NOR,,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",1.
Jakob INGEBRIGTSEN,NOR,,16 AUG 2022,"Olympiastadion, München (GER)",1.
Jakob INGEBRIGTSEN,NOR,,11 AUG 2018,"Olympiastadion, Berlin (GER)",1.
Jakob INGEBRIGTSEN,NOR,,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",1.
Jakob INGEBRIGTSEN,NOR,,22 JUL 2017,"Stadio Zecchini, Grosseto (ITA)",1.
Jakob INGEBRIGTSEN,NOR,,29 JUN 2024,"Sandnes Stadion, Sandnes (NOR)",1.
Jakob INGEBRIGTSEN,NOR,,25 AUG 2017,Sandnes (NOR),1.
Jakob INGEBRIGTSEN,NOR,1137,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",1.
Jakob INGEBRIGTSEN,NOR,1158,29 JUN 2024,"Sandnes Stadion, Sandnes (NOR)",1.
Jakob INGEBRIGTSEN,NOR,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",1.
Jakob INGEBRIGTSEN,NOR,,24 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",11.
Jakob INGEBRIGTSEN,NOR,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",1.
Jakob INGEBRIGTSEN,NOR,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",2.
Jakob INGEBRIGTSEN,NOR,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",5.
Jakob INGEBRIGTSEN,NOR,,27 SEP 2019,"Khalifa International Stadium, Doha (QAT)",12.
Jakob INGEBRIGTSEN,NOR,,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",1.
Jakob INGEBRIGTSEN,NOR,,16 AUG 2022,"Olympiastadion, München (GER)",1.
Jakob INGEBRIGTSEN,NOR,,11 AUG 2018,"Olympiastadion, Berlin (GER)",1.
Jakob INGEBRIGTSEN,NOR,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",3.
Jakob INGEBRIGTSEN,NOR,,22 JUL 2017,"Stadio Zecchini, Grosseto (ITA)",1.
Jakob INGEBRIGTSEN,NOR,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",1.
Jakob INGEBRIGTSEN,NOR,,24 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",11.
Jakob INGEBRIGTSEN,NOR,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",1.
Jakob INGEBRIGTSEN,NOR,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",2.
Jakob INGEBRIGTSEN,NOR,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",5.
Jakob INGEBRIGTSEN,NOR,,27 SEP 2019,"Khalifa International Stadium, Doha (QAT)",12.
Jakob INGEBRIGTSEN,NOR,,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",1.
Jakob INGEBRIGTSEN,NOR,,16 AUG 2022,"Olympiastadion, München (GER)",1.
Jakob INGEBRIGTSEN,NOR,,11 AUG 2018,"Olympiastadion, Berlin (GER)",1.
Jakob INGEBRIGTSEN,NOR,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",3.
Jakob INGEBRIGTSEN,NOR,,22 JUL 2017,"Stadio Zecchini, Grosseto (ITA)",1.
Jakob INGEBRIGTSEN,NOR,1252,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",
Jakob INGEBRIGTSEN,NOR,1158,29 JUN 2024,"Sandnes Stadion, Sandnes (NOR)",
Jakob INGEBRIGTSEN,NOR,,,,
Jakob INGEBRIGTSEN,NOR,,,,
Jakob INGEBRIGTSEN,NOR,,,,
Jakob INGEBRIGTSEN,NOR,,,,
Jakob INGEBRIGTSEN,NOR,,,,
Jakob INGEBRIGTSEN,NOR,,,,
Jakob INGEBRIGTSEN,NOR,,,,
Jakob INGEBRIGTSEN,NOR,,,,
Jakob INGEBRIGTSEN,NOR,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",1.
Jakob INGEBRIGTSEN,NOR,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",1.
Jakob INGEBRIGTSEN,NOR,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",5.
Jakob INGEBRIGTSEN,NOR,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",3.
Jakob INGEBRIGTSEN,NOR,,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",1.
Jakob INGEBRIGTSEN,NOR,,16 AUG 2022,"Olympiastadion, München (GER)",1.
Jakob INGEBRIGTSEN,NOR,,11 AUG 2018,"Olympiastadion, Berlin (GER)",1.
Jakob INGEBRIGTSEN,NOR,,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",1.
Jakob INGEBRIGTSEN,NOR,,22 JUL 2017,"Stadio Zecchini, Grosseto (ITA)",1.
Jakob INGEBRIGTSEN,NOR,,29 JUN 2024,"Sandnes Stadion, Sandnes (NOR)",1.
Jakob INGEBRIGTSEN,NOR,,25 AUG 2017,Sandnes (NOR),1.
Jakob INGEBRIGTSEN,NOR,,,,
Jakob INGEBRIGTSEN,NOR,,,,
Jacob KIPLIMO,UGA,1280,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Jacob KIPLIMO,UGA,1280,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Jacob KIPLIMO,UGA,1139,10 JUN 2016,Ponzano Veneto (ITA),
Jacob KIPLIMO,UGA,1160,27 MAY 2017,"Hayward Field, Eugene, OR (USA)",
Jacob KIPLIMO,UGA,1139,10 JUN 2018,"Olympiastadion, Stockholm (SWE)",
Jacob KIPLIMO,UGA,1252,08 SEP 2020,"Mestský Stadion, Ostrava (CZE)",
Jacob KIPLIMO,UGA,1226,29 JUN 2021,"Stadion Allmend, Luzern (SUI)",
Jacob KIPLIMO,UGA,1180,06 AUG 2022,"Alexander Stadium, Birmingham (GBR)",
Jacob KIPLIMO,UGA,1278,15 JUN 2023,"Bislett Stadion, Oslo (NOR)",
